**RACI Table – AtlasRemit Cross-Border Payment Process**

| Task | Transaction Analyst | KYC Review | Regulatory Liaison | IT Support |
|------|---------------------|------------|--------------------|------------|
| Receive customer’s transfer instruction and log it in the system | **R** | I | I | I |
| Screen the payment against the sanctions list | **R** | C | I | I |
| Perform KYC Review on both sender and beneficiary | I | **R** | **A** | I |
| Approve high-risk transaction | I | C | **R/A** | I |
| Release the payment | **R** | I | C | I |
| Ensure the SWIFT message is sent | I | I | I | **R/A** |
| Archive the case file | I | I | I | **R** |
| Notify Regulatory Liaison upon archiving | I | I | **I** | **R** |

**R** = Responsible **A** = Accountable **C** = Consulted **I** = Informed
