### Decision Points

1.  **Underwriter Alignment Gate** (Step 5)
    *   Compare **Senior Underwriter A** and **Shadow Underwriter B** risk scores (0–9).
    *   If scores differ by **≤ 2 points**: Continue to **Neighbourhood Feedback Check (NFC)**.
    *   If scores differ by **> 2 points**: Escalate to the **Harmonisation Committee** for a tie-break decision before continuing.

2.  **Amount Threshold Decision** (Step 7)
    *   Evaluate loan amount against **€15 000**.
    *   If **amount < €15 000**: System auto-approves.
    *   If **amount ≥ €15 000**: Proceed to **Final Micro-loan Board Approval (MBA)**.

3.  **Final Micro-loan Board Approval (MBA)** (Step 8)
    *   **Micro-loan Board** votes to either **approve** or **reject**.

***

### Required Documents at Submission Time

*   Digital Application Form (ML-APP-01)
*   Proof of Address (≤ 3 months old)
*   Latest Income Statement (single pay-stub or tax slip)
*   Community Impact Statement (CIS) template
*   Dual Underwriter Score-Sheet
*   Neighbourhood Feedback Form (NFF)
